0xF306	ki
0xF309	ke
0xF308	ku
0xF30A	ko
0xF305	kA
0xF612	kI
0xF616	kE
0xF613	kU
0xF61C	k.ka
0xF61E	k.ki
0xF0028	k.ke
0xF61F	k.ku
0xF0029	k.ko
0xF61D	k.kA
0xF0024	k.kI
0xF0025	k.kU
0xF0036	k.k.ri
0xF0039	k.k.re
0xF0038	k.k.ru
0xF0035	k.k.rA
0xF0037	k.k.rI
0xF62D	k.ta
0xF62F	k.ti
0xF631	k.te
0xF0074	k.tu
0xF632	k.to
0xF62E	k.tA
0xF630	k.tI
0xF0075	k.tU
0xF0093	k.t.ra
0xF633	k.t.ri
0xF0098	k.t.re
0xF0096	k.t.ru
0xF009A	k.t.ro
0xF0094	k.t.rA
0xF0095	k.t.rI
0xF0097	k.t.rU
0xF636	k.ma_
0xF00F6	k.mi
0xF00FB	k.me
0xF00F8	k.mu
0xF00FD	k.mo
0xF00F5	k.mA
0xF00F7	k.mI
0xF00F9	k.mU
0xF31D	k.wa
0xF63E	k.wi
0xF63F	k.we
0xF0118	k.wu
0xF011B	k.wo
0xF0116	k.wA
0xF0117	k.wI
0xF0119	k.wU
0xF30B	k.ya
0xF30C	k.yi
0xF30F	k.ye
0xF30E	k.yu
0xF310	k.yo
0xF637	k.yA
0xF0101	k.yI
0xF0102	k.yU
0xF311	k.ra
0xF312	k.ri
0xF315	k.re
0xF314	k.ru
0xF316	k.ro
0xF0105	k.rA
0xF639	k.rI
0xF63A	k.rU
0xF317	k.la
0xF318	k.li
0xF31B	k.le
0xF31A	k.lu
0xF31C	k.lo
0xF010E	k.lA
0xF010F	k.lI
0xF0110	k.lU
0xF0197	NameMe.6895
0xF0199	k.si
0xF019E	k.se
0xF019B	k.su
0xF01A0	k.so
0xF0198	k.sA
0xF019A	k.sI
0xF019C	k.sU
0xF01B2	k.s.ra
0xF01B4	k.s.ri
0xF01B7	k.s.re
0xF01B5	k.s.ru
0xF01B8	k.s.ro
0xF01B3	k.s.rA
0xF01B6	k.s.rU
0xF011F	k.sha
0xF641	k.shi
0xF0124	k.she
0xF0122	k.shu
0xF0126	k.sho
0xF0120	k.shA
0xF0121	k.shI
0xF0123	k.shU
0xF0140	k.sh.ra
0xF0142	k.sh.ri
0xF0146	k.sh.re
0xF0144	k.sh.ru
0xF0148	k.sh.ro
0xF0141	k.sh.rA
0xF0143	k.sh.rI
0xF0145	k.sh.rU
0xF5F4	k.Shi
0xF5F7	k.She
0xF5F6	k.Shu
0xF5F8	k.Sho
0xF5F3	k.ShA
0xF643	k.ShI
0xF644	k.ShU
0xF64D	k.Sh.Na
0xF016B	k.Sh.Ni
0xF016F	k.Sh.Ne
0xF016D	k.Sh.Nu
0xF0171	k.Sh.No
0xF016A	k.Sh.NA
0xF016C	k.Sh.NI
0xF016E	k.Sh.NU
0xF343	khi
0xF346	khe
0xF345	khu
0xF347	kho
0xF342	khA
0xF655	khI
0xF01C9	khU
0xF01D6	kh.wA
0xF01D7	kh.wI
0xF665	kh.wU
0xF348	kh.ya
0xF349	kh.yi
0xF34C	kh.ye
0xF34B	kh.yu
0xF34D	kh.yo
0xF65E	kh.yA
0xF01CF	kh.yI
0xF01D0	kh.yU
0xF34E	kh.ra
0xF34F	kh.ri
0xF352	kh.re
0xF351	kh.ru
0xF353	kh.ro
0xF661	kh.rA
0xF01D5	kh.rI
0xF35B	gi
0xF35E	ge
0xF35D	gu
0xF35F	go
0xF35A	gA
0xF666	gI
0xF01DC	gU
0xF66A	gO
0xF01E0	g.ga
0xF66F	g.gi
0xF01E5	g.ge
0xF670	g.gu
0xF01E7	g.go
0xF66E	g.gA
0xF01E1	g.gI
0xF01E2	g.gU
0xF01ED	g.g.ra
0xF01EF	g.g.ri
0xF01EE	g.g.rA
0xF01F0	g.g.rI
0xF373	g.wa
0xF680	g.wi
0xF02EB	g.we
0xF02E8	g.wu
0xF02E6	g.wA
0xF02E7	g.wI
0xF02E9	g.wU
0xF360	g.ya
0xF361	g.yi
0xF364	g.ye
0xF363	g.yu
0xF365	g.yo
0xF67D	g.yA
0xF02CD	g.yU
0xF366	g.ra
0xF367	g.ri
0xF36A	g.re
0xF369	g.ru
0xF36B	g.ro
0xF67F	g.rA
0xF02D4	g.rI
0xF02D5	g.rU
0xF36D	g.la
0xF36E	g.li
0xF371	g.le
0xF370	g.lu
0xF372	g.lo
0xF02E3	g.lA
0xF399	g.hi
0xF39C	g.he
0xF39B	g.hu
0xF39D	g.ho
0xF398	g.hA
0xF02F0	g.hI
0xF683	g.hU
0xF02FF	g.h.na
0xF0301	g.h.ni
0xF0305	g.h.ne
0xF0303	g.h.nu
0xF0307	g.h.no
0xF0300	g.h.nA
0xF0302	g.h.nI
0xF0304	g.h.nU
0xF684	g.h.ra
0xF686	g.h.ri
0xF0328	g.h.re
0xF0326	g.h.ru
0xF032A	g.h.ro
0xF685	g.h.rA
0xF687	g.h.rI
0xF0327	g.h.rU
0xF39F	ngi
0xF3A2	nge
0xF3A1	ngu
0xF3A3	ngo
0xF39E	ngA
0xF0338	ngI
0xF68A	ngU
0xF68B	ngO
0xF68C	ng.ka
0xF0343	ng.ki
0xF690	ng.ke
0xF68E	ng.ku
0xF0349	ng.ko
0xF68D	ng.kA
0xF0344	ng.kI
0xF0345	ng.kU
0xF692	ng.ga
0xF694	ng.gi
0xF697	ng.ge
0xF696	ng.gu
0xF03A3	ng.go
0xF693	ng.gA
0xF03C4	ng.g.hi
0xF03C9	ng.g.he
0xF03C6	ng.g.hu
0xF03CA	ng.g.ho
0xF03C5	ng.g.hI
0xF03C7	ng.g.hU
0xF3B7	ci
0xF3BB	ce
0xF3B9	cu
0xF3BC	co
0xF3B6	cA
0xF3BA	cU
0xF3C7	c.wi
0xF3C8	c.wo
0xF3CA	chi
0xF3CE	che
0xF3CD	chu
0xF3CF	cho
0xF3C9	chA
0xF3D0	chO
0xF3DA	ji
0xF3DD	je
0xF3DC	ju
0xF3DE	jo
0xF3D9	jA
0xF3ED	nyi
0xF3F0	nye
0xF3EF	nyu
0xF3F1	nyo
0xF3EC	nyA
0xF6CE	ny.tsa
0xF6D0	ny.tsi
0xF051A	ny.tse
0xF6D1	ny.tsu
0xF6D2	ny.tso
0xF6CF	ny.tsA
0xF6D5	ny.dza
0xF6D7	ny.dzi
0xF054D	ny.dze
0xF6D8	ny.dzu
0xF054F	ny.dzo
0xF6D6	ny.dzA
0xF054A	ny.dzU
0xF05B5	ny.wi
0xF05B9	ny.we
0xF05B7	ny.wu
0xF05BA	ny.wo
0xF05B4	ny.wA
0xF05B6	ny.wI
0xF05B8	ny.wU
0xF41E	ti
0xF421	te
0xF420	tu
0xF422	to
0xF41D	tA
0xF707	tI
0xF709	tE
0xF70B	tO
0xF086F	t.ga
0xF0870	t.gA
0xF715	t.ta
0xF717	t.ti
0xF087E	t.te
0xF718	t.tu
0xF0880	t.to
0xF716	t.tA
0xF71B	t.t.ra
0xF0892	t.t.ri
0xF0896	t.t.re
0xF0894	t.t.ru
0xF0898	t.t.ro
0xF0891	t.t.rA
0xF0895	t.t.rU
0xF71D	t.na
0xF08BA	t.ni
0xF71F	t.ne
0xF08BC	t.nu
0xF08BF	t.no
0xF71E	t.nA
0xF08BD	t.nU
0xF720	t.pa
0xF08CF	t.pe
0xF721	t.pu
0xF08D1	t.po
0xF08DB	t.p.ra
0xF08DD	t.p.ri
0xF08E1	t.p.re
0xF08DF	t.p.ru
0xF08E3	t.p.ro
0xF08DC	t.p.rA
0xF08E0	t.p.rU
0xF723	t.ma
0xF724	t.mA
0xF0907	t.m.ra
0xF739	t.wi
0xF73A	t.we
0xF0922	t.wu
0xF0925	t.wo
0xF738	t.wA
0xF0923	t.wU
0xF0908	t.yi
0xF729	t.ye
0xF728	t.yu
0xF090C	t.yo
0xF727	t.yA
0xF423	t.ra
0xF424	t.ri
0xF427	t.re
0xF426	t.ru
0xF428	t.ro
0xF092C	t.sa
0xF092E	t.si
0xF0934	t.se
0xF0930	t.su
0xF0936	t.so
0xF092D	t.sA
0xF0931	t.sU
0xF0988	t.s.ra
0xF098A	t.s.ri
0xF098D	t.s.re
0xF098B	t.s.ru
0xF098E	t.s.ro
